1.000000000000000000e+00,1.000000000000000000e+00,3.900128748549822055e-01
1.000000000000000000e+00,3.000000000000000000e+00,5.181408408204398741e-01
1.000000000000000000e+00,2.000000000000000000e+00,9.239739649277403100e-01
1.000000000000000000e+00,4.000000000000000000e+00,7.147507658016979404e-01
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,3.000000000000000000e+00,7.178795871488021785e-01
2.000000000000000000e+00,2.000000000000000000e+00,8.673063456831744400e-01
2.000000000000000000e+00,4.000000000000000000e+00,6.984424495456804660e-01
3.000000000000000000e+00,1.000000000000000000e+00,9.476413365617070150e-02
3.000000000000000000e+00,4.000000000000000000e+00,6.794939626071302419e-01
3.000000000000000000e+00,3.000000000000000000e+00,8.522944484530832199e-01
3.000000000000000000e+00,2.000000000000000000e+00,8.335495054600621234e-01
4.000000000000000000e+00,1.000000000000000000e+00,2.734105183760505708e-01
4.000000000000000000e+00,3.000000000000000000e+00,9.444851242493831345e-01
4.000000000000000000e+00,4.000000000000000000e+00,6.005171279117691441e-01
4.000000000000000000e+00,2.000000000000000000e+00,7.349837542637586152e-01
5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,3.704238970326783065e-01
5.000000000000000000e+00,2.000000000000000000e+00,7.506451601949271080e-01
5.000000000000000000e+00,4.000000000000000000e+00,6.006217504745591240e-01
